day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,2,3,7,hap_face,stimuli_images/faces,RADIATE_COLOR_8/HM09/HM09_HO.bmp,RADIATE_COLOR_3/BF08/BF08_HO.bmp,RADIATE_COLOR_8/HM09/HM09_HO.bmp,right,trial,25,3,7,1,1779118367.22363,0.946991205215454,1,2,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,8,hap_face,stimuli_images/faces,RADIATE_COLOR_4/BF12/BF12_HC.bmp,RADIATE_COLOR_4/BF12/BF12_HC.bmp,RADIATE_COLOR_3/BF04/BF04_HC.bmp,left,trial,26,3,8,1,1779118373.2196,1.09001636505127,1,6,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,9,hap_face,stimuli_images/faces,RADIATE_COLOR_3/BF08/BF08_HO.bmp,RADIATE_COLOR_3/BF08/BF08_HO.bmp,RADIATE_COLOR_8/HM10/HM10_HO.bmp,left,trial,27,3,9,1,1779118383.21289,0.626604557037354,1,6,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,1,shape,shapes_output,oval_tall_large.png,oval_tall_large.png,oval_wide_xsmall.png,left,trial,28,4,1,0,1779118396.20416,0.91152548789978,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,2,shape,shapes_output,oval_wide_xsmall.png,circle_small.png,oval_wide_xsmall.png,right,trial,29,4,2,0,1779118402.20013,1.02940821647644,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,3,shape,shapes_output,oval_tall_large.png,oval_tall_large.png,oval_wide_xsmall.png,left,trial,30,4,3,0,1779118408.1961,0.572205543518066,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,4,shape,shapes_output,circle_mediumplus.png,circle_mediumplus.png,oval_tall_small.png,left,trial,31,4,4,0,1779118414.19207,0.644182443618774,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,5,shape,shapes_output,oval_wide_xxlarge.png,oval_tall_medium.png,oval_wide_xxlarge.png,right,trial,32,4,5,0,1779118420.18804,0.554304599761963,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,6,shape,shapes_output,oval_tall_large.png,oval_tall_xsmall.png,oval_tall_large.png,right,trial,33,4,6,0,1779118426.18401,0.505177021026611,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,7,shape,shapes_output,oval_wide_xlarge.png,oval_tall_xlarge.png,oval_wide_xlarge.png,right,trial,34,4,7,0,1779118432.17998,0.637935876846313,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,8,shape,shapes_output,oval_wide_small.png,circle_large.png,oval_wide_small.png,right,trial,35,4,8,0,1779118438.17595,0.748227119445801,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,4,9,shape,shapes_output,circle_smallplus.png,oval_wide_xsmall.png,circle_smallplus.png,right,trial,36,4,9,0,1779118444.17192,0.911277294158936,1,2,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,block,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,block,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
