day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,1,2,2,shape,shapes_output,circle_xsmall.png,circle_xsmall.png,circle_xxlarge.png,left,trial,11,2,2,0,1779117938.98895,0.91795802116394,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,3,shape,shapes_output,oval_wide_xxlarge.png,oval_wide_xxlarge.png,oval_wide_medium.png,left,trial,12,2,3,0,1779117944.9849,0.758753299713135,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,4,shape,shapes_output,oval_wide_xlarge.png,oval_wide_xlarge.png,oval_wide_xxlarge.png,left,trial,13,2,4,0,1779117950.98085,1.23411202430725,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,5,shape,shapes_output,circle_smallplus.png,circle_smallplus.png,oval_wide_xxlarge.png,left,trial,14,2,5,0,1779117956.9768,0.642847537994385,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,6,shape,shapes_output,circle_xxlarge.png,circle_mediumplus.png,circle_xxlarge.png,right,trial,15,2,6,0,1779117962.97275,0.880201578140259,0,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,7,shape,shapes_output,oval_tall_large.png,oval_tall_large.png,circle_small.png,left,trial,16,2,7,0,1779117968.9687,0.743770122528076,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,8,shape,shapes_output,oval_wide_xsmall.png,oval_wide_xsmall.png,oval_wide_small.png,left,trial,17,2,8,0,1779117974.96465,0.798823118209839,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,9,shape,shapes_output,circle_xlarge.png,circle_xlarge.png,circle_xxlarge.png,left,trial,18,2,9,0,1779117980.96061,1.50538372993469,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,1,neg_face,stimuli_images/faces,RADIATE_COLOR_9/WF10/WF10_AO.bmp,RADIATE_COLOR_4/BF12/BF12_AO.bmp,RADIATE_COLOR_9/WF10/WF10_AO.bmp,right,trial,19,3,1,1,1779117989.95453,1.37367081642151,1,2,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,2,neg_face,stimuli_images/faces,RADIATE_COLOR_3/BF05/BF05_FO.bmp,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_3/BF05/BF05_FO.bmp,right,trial,20,3,2,1,1779117995.95048,1.24004459381104,1,2,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
